LON,LAT,EDO,CLAVE,ESTACION,jun-25,,
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",351.01,,
-103.700833,19.408333,COL,SCHCM,"Suchitl†n, Col.",342.2,,
-103.867778,18.911667,COL,TCMCM,"Tecom†n, Col.",216,,
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",137.62,,
-99.235278,19.203333,DF,AJUSCOALTATEN,"Ajusco Alta Tensi¢n, Cd. de MÇx. SEGIAGUA*",323.25,,
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÇx.",309,,
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de MÇx.",264.5,,
-99.197222,19.388611,DF,CAJA6IPSAYP,"Caja 6 IP San Antonio y Periferico, Cd. de MÇx. SEGIAGUA*",264.25,,
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÇx.",247.88,,
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÇx.",260.75,,
-98.999444,19.357222,DF,CDMDF,"C†rcel de Mujeres, Cd. de MÇx.",162,,
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÇx.",307,,
-99.196111,19.311667,DF,CENAPRED,"Centro de Ciencias de la Atm¢sfera CENAPRED, Cd. de MÇx SMN*",267,,
-99.021667,19.256111,DF,CERRILLOS,"Cerrillos, Cd. de MÇx. SEGIAGUA*",237.5,,
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÇx.",250.25,,
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÇx.",167,,
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÇx.",277.5,,
-99.205,19.3,DF,DATDF,"Desviaci¢n Alta, Cd. de MÇx.",151.25,,
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de MÇx. SMN*",255.4,,
-99.073056,19.288611,DF,ELMOLINOCDMX,"El Molino, Cd. de MÇx. SEGIAGUA*",85.75,,
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÇx.",304.5,,
-99.352222,19.295,DF,EZCDF,"El Zarco, MÇx.",308,,
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÇx.",286.25,,
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de MÇxico, Cd. de MÇx.",199.25,,
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de MÇx.",261.25,,
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de MÇx.",203.2,,
-99.170556,19.286944,DF,LAJOYACDMX,"La Joya, Cd. de MÇx. SEGIAGUA*",146.5,,
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro R°os (El Moral), Cd. de MÇx.",241.25,,
-99.120556,19.150556,DF,MTULMIAC,"Manantial Tulmiac, Cd. de MÇx. SEGIAGUA*",298.75,,
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÇx.",277.75,,
-99.026944,19.187222,DF,MILPAALTADF,"Milpa Alta, Cd. de MÇx. SEGIAGUA*",211,,
-99.191944,19.416389,DF,MDELREY,"Molino del Rey, Cd. de MÇx SMN*",113.2,,
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de MÇx.",283.11,,
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de MÇcico Sur, Cd. de MÇx.",219.25,,
-99.219444,19.285278,DF,PICACHOHOMUN,"Picacho Homun, Cd. de MÇx. SEGIAGUA*",243,,
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo (Mezontepec), Cd. de MÇx.",314.5,,
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de MÇx.",303.25,,
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de MÇx.",279.75,,
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de MÇx.",140.75,,
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de MÇx. SEGIAGUA*",154.5,,
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de MÇx.",139.25,,
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo L¢pez Mateos, Cd. de MÇx.",252,,
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de MÇx.",286.25,,
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa Mar°a, Cd. de MÇx.",150.75,,
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de MÇx.",203.25,,
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. EjÇrcito de Oriente, Cd. de MÇx.",167,,
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de MÇx.",206.25,,
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de MÇx.",247,,
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de MÇx.",221,,
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento R°o de La Magdalena, Cd. de MÇx.",304.25,,
