Lon,Lat,Clave,Edo,Est,Tmed
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,11.7
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,15.6
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,15.7
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,12.8
-106.4,31.74,CJZCH,CHIH,Ciudad Ju·rez Chih.,14.8
-105.38,27.41,CL2CH,CHIH,Colina hidromÈtrica Chih.,14.5
-106.77,26.23,CHNCH,CHIH,Chinat˙ Chih. SMN*,10.3
-107.07,26.82,GCCCH,CHIH,Guachochi Chih. SMN*,8.0
-104.91,27.11,JIMENEZCHIH,CHIH,JimÈnez Chih. SMN*,15.7
-108.54,27.39,CHICH,CHIH,ChÌnipas Chih. SMN*,18.9
-107.63,27.75,CRLCH,CHIH,Creel Chih.,9.1
-107.99,27.86,MAGCH,CHIH,Maguarichi Chih. SMN*,16.2
